strain	genbank_accession	genbank_accession_rev	date	region	country	division	location	length	host	release_date	update_date	sra_accessions	abbr_authors	authors	institution	serotype_genbank	clade	qc.overallStatus	country_short
DD367827	DD367827	DD367827.1						10976		2006-12-20	2006-12-20		Takahashi et al	Takahashi,M.,Ishibashi,M.,Goda,H.,Ishikawa,T.,Miyake,S.,Fukuya,I.,Onishi,T.,Nabeshima,T.,Morita,K.			3	good	
KU871350	KU871350	KU871350.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
KX965684	KX965684	KX965684.1	2008-XX-XX	Asia	China			10977	Sus scrofa	2017-05-22	2017-05-22		Han et al	Han,Z.,Chen,J.	South China Agricultural University, College of Veterinary Medicine		3	good	CHN
KP164498	KP164498	KP164498.2	2014-09-08	Asia	India			10976	Sus scrofa	2016-03-08	2016-10-31		Desingu et al	Desingu,P.A.,Ray,P.K.,Patel,B.H.,Singh,R.,Singh,R.K.,Saikumar,G.	Indian Veterinary Research Institute, Division of Pathology		3	good	IND
KU871335	KU871335	KU871335.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
MZ923735	MZ923735	MZ923735.1	2014-XX-XX	Asia	China			10977	Sus scrofa	2022-10-19	2022-10-19		Luo et al	Luo,R.,Zhou,P.,Ma,L.,Li,Y.	College of Veterinary Medicine Huazhong Agricultural University, State Key Laboratory of Agricultural Microbiology		3	good	CHN
JN711459	JN711459	JN711459.1	2008-XX-XX	Asia	China			10975	Scotophilus kuhlii	2012-01-24	2012-01-24		Liu et al	Liu,S.,Chen,Q.	Southern Medical University, Epidemiology		3	good	CHN
KU871330	KU871330	KU871330.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
JX131374	JX131374	JX131374.1	2009-03-XX	Asia	India			10977	Equus caballus	2012-07-23	2013-01-28		Singha et al	Singha,H.,Gulati,B.R.,Kumar,P.,Singh,B.K.,Virmani,N.,Singh,R.K.	National Research Centre on Equines, Animal Biotechnology		3	good	IND
KR908703	KR908703	KR908703.1	1988-XX-XX	Asia	South Korea			10968	Culex tritaeniorhynchus	2016-12-31	2016-12-31		Yun et al	Yun,S.-M.,Cha,G.W.,Jeong,Y.E.	Korea National Institute of Health, Division of Arboviruses		3	good	
U47032	U47032	U47032.1						10976		1996-08-10	1996-11-16		Ni et al	Ni,H.,Barrett,A.D.	Haolin Ni, University of Texas Medical Branch, Pathology, Galveston, TX 77555-0609		3	good	
KU871352	KU871352	KU871352.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
LP981864	LP981864	LP981864.1						10977		2018-04-29	2018-04-29		BARBERO et al	BARBERO,C.J.,NEBENFUHR,M.,SCHLEGL,R.,WEBER,M.,WRUSS,J.			3	good	
AF098735	AF098735	AF098735.1		Asia	Taiwan			10976	Aedes albopictus	1999-03-03	1999-02-08		Wu et al	Wu,C.N.	Academia Sinica, Institute of Biomedical Sciences		3	good	
KU323483	KU323483	KU323483.1						10977		2016-07-27	2016-07-27		Yun et al	Yun,S.-I.,Song,B.-H.,Lee,Y.-M.	Utah State University, Department of Animal, Dairy, and Veterinary Sciences		3	good	
KY650725	KY650725	KY650725.1	1983-07-13	Asia	China	Zhejiang		10968	Culex tritaeniorhynchus	2018-03-31	2018-03-31		Yan et al	Yan,J.-Y.,Sun,Y.,Deng,X.,Zhang,Y.-J.,Xie,S.-Y.,Mao,H.-Y.,Pan,J.-H.	Center for Disease Control and Prevention of Zhejiang Province, Virus Institute		3	good	CHN
LP837642	LP837642	LP837642.1						10976		2018-04-29	2018-04-29		SCHLEGL et al	SCHLEGL,R.,NEBENFUHR,M.,WEBER,M.,WRUSS,J.			3	good	
MZ540902	MZ540902	MZ540902.1		Asia	China			10977	Culicidae	2022-10-11	2022-10-11		Li et al	Li,C.,Chen,X.	Yangzhou University, The College of Veterinary Medicine		3	good	CHN
