strain	genbank_accession	genbank_accession_rev	date	region	country	division	location	length	host	release_date	update_date	sra_accessions	abbr_authors	authors	institution	serotype_genbank	clade	qc.overallStatus	country_short
KT957423	KT957423	KT957423.1	1982-XX-XX	Asia	China	Yunnan Province		10965	Culex annulus	2016-04-15	2016-04-19		Feng et al	Feng,Y.,Li,C.,Zhang,Y.Z.,Yang,W.H.,Zhang,H.L.	Yunnan Institute of Endemic Disease Control and Prevention		1	good	CHN
LC708273	LC708273	LC708273.1	2013-07-09	Asia	Japan	Kochi		10749	Sus scrofa domesticus	2022-05-12	2022-05-12		Matsui et al	Matsui,K.,Tajima,S.,Lim,C.K.	Department of Medical Technology; 1-17-71 Fuchinobe, Chuo-ku, Sagamihara, Kanagawa 252-5201		1	good	JPN
MZ540901	MZ540901	MZ540901.1		Asia	China			10965	Sus scrofa	2022-10-11	2022-10-11		Li et al	Li,C.,Chen,X.	Yangzhou University, The College of Veterinary Medicine		1	good	CHN
MH184569	MH184569	MH184569.1	2017-XX-XX	Asia	China			10966	Culex tritaeniorhynchus	2019-04-30	2019-04-30		De et al	De,W.,Qiqi,T.,Huan,Z.,Xin,Z.,Huiqiong,Z.	Institue of Pathogenic Microbiology, Guangdong Provincial Center for Disease Control and Prevention		1	good	CHN
JN381836	JN381836	JN381836.1						10965		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		1	good	
EU693899	EU693899	EU693899.1	2007-07-XX	Asia	China			10964	Culex tritaeniorhynchus	2008-06-01	2008-06-01		Xie et al	Xie,R.H.,Zhu,H.P.,Xu,F.,Yao,P.P.,Zhu,Z.Y.	Key Lab of Vaccine Against Hemorrhagic Fever with Renal Syndrome, Zhejiang Provincial Center for Disease Prevention and Control		1	good	CHN
JN381846	JN381846	JN381846.1						10965		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		1	good	
JF706281	JF706281	JF706281.1	2005-XX-XX	Asia	China			10965	Culex tritaeniorhynchus	2011-09-25	2011-09-25		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Zhang,H.	State Key Laboratory for Infectious Disease Prevention and Control, Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention		1	good	CHN
KU705224	KU705224	KU705224.1	1991-08-XX	Asia	South Korea	Kyung Kee		10984	Culex tritaeniorhynchus	2017-03-25	2017-03-25		Guerbois et al	Guerbois,M.,Forrester,N.L.,Rossi,S.L.,Hari,K.,Lin,D.,Weaver,S.C.	University of Texas Medical Branch, Microbiology and Immunology		1	good	
PP336429	PP336429	PP336429.1	2003-XX-XX	Asia	Vietnam			10965	Culex tritaeniorhynchus	2024-02-20	2024-02-20		Marano et al	Marano,J.M.,Walker,A.,Miller,B.,Bosco-Lauth,A.M.,Bowen,R.A.	Colorado State University, Biomedical Sciences		1	good	
